,0
0,48568.4446
1,12925.4258
2,4352.4298
3,2934.9794
4,71794.5808
5,5801.0423
6,2401.6695
7,12000.6486
8,9504.4008
9,13160.2177
10,7494.6208
11,5650.3774
12,8393.3633
13,5627.5828
14,3523.4439
15,3647.478
16,6055.2995
17,9759.4703
18,530.5045
19,3413.1955
20,16365.8978
21,25540.8005
22,85688.6597
23,15732.2527
24,156.5313
25,3242.789
26,5819.8309
27,11956.6696
28,16218.805
29,8776.5041
30,23376.0321
31,22275.6451
32,17289.2321
33,34744.9056
34,100977.6475
35,72067.3884
36,77688.0063
37,158631.2725
38,12533.5604
39,78036.7225
40,4232.1461
41,10273.6875
42,10215.9506
43,11447.6524
44,9392.3652
45,10122.62
46,14877.229
47,41672.0088
48,23064.4742
49,8749.0919
50,4939.4324
51,10879.52
52,8463.0146
53,11252.364
54,18285.9277
55,52772.7944
56,323849.0208
57,224321.1086
58,44342.3198
59,15508.3014
60,14618.2702
61,48000.5
62,56222.0446
63,39038.8713
64,61252.4894
65,175054.9073
66,211689.605
67,142023.691
68,132731.8973
69,488323.97429999994
70,10875.4485
71,693.2362
72,1448.9653
73,133.8008
74,27170.9932
75,3432.1225
76,10222.9648
77,4315.2699
78,14432.9809
79,5794.4571
80,7156.9976
81,7476.9489
82,18633.612
83,18000.1334
84,10432.7265
85,13855.9022
86,26936.3562
87,18078.3426
88,5442.4661
89,15349.0393
90,36373.0109
91,69126.6141
92,80331.7826
93,18851.565
94,280.4067
95,2878.3655
96,13804.2768
97,24232.2327
98,7204.0068
99,19286.0658
100,32921.7391
101,61462.5495
102,43666.3651
103,31843.9786
104,139874.4644
105,10277.8937
106,527.8543
107,256.2811
108,135.2677
109,12304.8008
110,3976.9756
111,1739.9158
112,6978.9862
113,5307.2138
114,766.3397
115,1664.1635
116,1965.7426
117,2703.8583
118,1461.5482
119,1140.2117
120,1287.4954
121,2658.5767
122,2493.9967
123,673.4946
124,1807.6176
125,4268.5497
126,7180.0213
127,6776.1116
128,2724.6793
129,1744.5163
130,1679.7918
131,739.2316
132,2312.5026
133,1488.4472
134,1069.6535
135,2604.9331
136,2526.2633
137,2310.0512
138,3508.1612
139,11613.2366
140,121273.8862
141,41229.417
142,36005.6189
143,2537.6976
144,160990.0424
145,33467.3937
146,6735.3086
147,104869.6595
148,66495.697
149,15528.824
150,24873.3276
151,17544.6412
152,44133.9297
153,22314.4372
154,21633.3222
155,17399.863
156,27463.7104
157,62627.2664
158,6742.2985
159,32577.3298
160,68394.8735
161,113464.5507
162,253331.3771
163,84757.1452
164,4775.3433
165,9652.2827
166,23268.5935
167,65147.0952
168,33420.069
169,38071.4496
170,140529.1906
171,140032.7401
172,91289.7227
173,177729.0893
174,411164.84800000006
175,74358.9073
176,72845.0538
177,32539.6041
178,15631.4877
179,101282.2437
180,4625.374
181,27726.9698
182,33838.343
183,30977.9237
184,11039.929
185,23015.0752
186,18018.3905
187,56487.5112
188,29294.4375
189,11570.0719
190,8318.2812
191,28100.8126
192,58208.949
193,24484.1839
194,30629.1086
195,45070.2972
196,266870.7463
197,271912.3792
198,76750.4986
199,4243.4926
200,6398.0299
201,33029.7836
202,55633.9084
203,48870.0106
204,62261.4904
205,219659.9605
206,280319.1023
207,112492.0955
208,219035.4401
209,523534.06510000007
210,12786.1228
211,3218.7996
212,1237.1013
213,31.7962
214,45009.648
215,3621.7028
216,8770.5831
217,3082.5176
218,27744.6052
219,121578.374
220,7895.8769
221,6925.7044
222,6040.1691
223,19273.6139
224,67397.0482
225,22695.4261
226,33050.0036
227,1929.5706
228,6600.9241
229,18080.978
230,43584.2648
231,85670.066
232,194030.1163
233,32223.5151
234,23581.9658
235,8990.1966
236,20389.4374
237,23606.6384
238,17087.6382
239,33168.8152
240,128125.4607
241,75092.584
242,129356.4409
243,115100.0519
244,202617.08290000004
245,2032281.8434
246,660359.0877
247,335021.5324
248,30213.33
249,1813484.9993
250,1585970.4308
251,230977.849
252,690406.187
253,1338198.8969
254,423500.3829
255,599234.9467
256,1034643.9708
257,1878259.7023
258,870937.0747
